Year,Athlete,Place_no,Time
1979.0,Anne Haug,0.0,N/A
1979.0,Sarah Crowley,0.0,N/A
1979.0,Lucy Charles,0.0,N/A
1979.0,Heather Jackson,0.0,N/A
1979.0,Daniela Ryf,0.0,N/A
1979.0,Rachel Joyce,0.0,N/A
1979.0,Liz Blatchford,0.0,N/A
1979.0,Leanda Cave,0.0,N/A
1979.0,Caroline Steffen,0.0,N/A
1979.0,Julie Dibens,0.0,N/A
1979.0,Virginia Berasategui,0.0,N/A
1979.0,Mirinda Carfrae,0.0,N/A
1979.0,Yvonne van Vlerken,0.0,N/A
1979.0,Sandra Wallenhorst,0.0,N/A
1979.0,Chrissie Wellington,0.0,N/A
1979.0,Samantha McGlone,0.0,N/A
1979.0,Lisa Bentley,0.0,N/A
1979.0,Desiree Ficker,0.0,N/A
1979.0,Michellie Jones,0.0,N/A
1979.0,Kate Major,0.0,N/A
1979.0,Nina Kraft,0.0,N/A
1979.0,Heather Fuhr,0.0,N/A
1979.0,Lori Bowden,0.0,N/A
1979.0,Natascha Badmann,0.0,N/A
1979.0,Isabelle Mouthon,0.0,N/A
1979.0,Fernanda Keller,0.0,N/A
1979.0,Karen Smyers,0.0,N/A
1979.0,Susan Latshaw,0.0,N/A
1979.0,Julie Anne White,0.0,N/A
1979.0,Thea Sybesma,0.0,N/A
1979.0,Sarah Coope,0.0,N/A
1979.0,Terri Schneider,0.0,N/A
1979.0,Kirsten Hanssen,0.0,N/A
1979.0,Erin Baker,0.0,N/A
1979.0,Joanne Ernst,0.0,N/A
1979.0,Paula Newby-Fraser,0.0,N/A
1979.0,Elizabeth Bulman,0.0,N/A
1979.0,Julie Olson,0.0,N/A
1979.0,Patricia Puntous,0.0,N/A
1979.0,Sylviane Puntous,0.0,N/A
1979.0,Eva Ueltzen,0.0,N/A
1979.0,Julie Leach,0.0,N/A
1979.0,Jo Ann Dahlkoetter,0.0,N/A
1979.0,Julie Moss,0.0,N/A
1979.0,Kathleen McCartney,0.0,N/A
1979.0,Sally Edwards,0.0,N/A
1979.0,Lyn Brooks,0.0,N/A
1979.0,Linda Sweeney,0.0,N/A
1979.0,Eve Anderson,0.0,N/A
1979.0,Robin Beck,0.0,N/A
1979.0,Lyn Lemaire,1.0,12:55:38
1980.0,Anne Haug,0.0,N/A
1980.0,Sarah Crowley,0.0,N/A
1980.0,Lucy Charles,0.0,N/A
1980.0,Heather Jackson,0.0,N/A
1980.0,Daniela Ryf,0.0,N/A
1980.0,Rachel Joyce,0.0,N/A
1980.0,Liz Blatchford,0.0,N/A
1980.0,Leanda Cave,0.0,N/A
1980.0,Caroline Steffen,0.0,N/A
1980.0,Julie Dibens,0.0,N/A
1980.0,Virginia Berasategui,0.0,N/A
1980.0,Mirinda Carfrae,0.0,N/A
1980.0,Yvonne van Vlerken,0.0,N/A
1980.0,Sandra Wallenhorst,0.0,N/A
1980.0,Chrissie Wellington,0.0,N/A
1980.0,Samantha McGlone,0.0,N/A
1980.0,Lisa Bentley,0.0,N/A
1980.0,Desiree Ficker,0.0,N/A
1980.0,Michellie Jones,0.0,N/A
1980.0,Kate Major,0.0,N/A
1980.0,Nina Kraft,0.0,N/A
