x_ind,y,height,end_athlete,missing,x
7,Sylviane Puntous,6,Joanne Ernst,Sylviane Puntous,1985.0
10,Sylviane Puntous,8,Kirsten Hanssen,Sylviane Puntous,1988.0
11,Sylviane Puntous,8,Kirsten Hanssen,Erin Baker,1989.0
14,Paula Newby-Fraser,8,Julie Anne White,Erin Baker,1992.0
17,Paula Newby-Fraser,12,Isabelle Mouthon,Paula Newby-Fraser,1995.0
19,Karen Smyers,6,Heather Fuhr,Karen Smyers,1997.0
20,Karen Smyers,5,Lori Bowden,Karen Smyers,1998.0
21,Karen Smyers,5,Lori Bowden,Natascha Badmann,1999.0
32,Chrissie Wellington,7,Caroline Steffen,Chrissie Wellington,2010.0
37,Mirinda Carfrae,8,Daniela Ryf,Mirinda Carfrae,2015.0
